Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
211702,2018-01-10,0.02217,0.023915000000000002,0.017263999999999998,0.020505000000000002,"527,893","19,389,700",BTCZ,-0.0751014884979702
211703,2018-01-09,0.01319,0.030599,0.01319,0.025625,"291,499","11,437,200",BTCZ,0.9427596664139499
211704,2018-01-08,0.014521000000000001,0.014695,0.012511,0.013222999999999999,"183,670","12,489,100",BTCZ,-0.0893877832105226
211705,2018-01-07,0.015493,0.015493,0.01329,0.014259,"223,462","13,213,600",BTCZ,-0.0796488736848899
211706,2018-01-06,0.012139,0.015824,0.012119,0.015364,"155,133","10,267,100",BTCZ,0.265672625422193
211707,2018-01-05,0.01264,0.014704,0.011805,0.012123,"194,546","10,598,700",BTCZ,-0.0409018987341772
211708,2018-01-04,0.013090000000000001,0.013517,0.009972,0.012634000000000001,"209,110","10,884,700",BTCZ,-0.0348357524828113
211709,2018-01-03,0.014001,0.015857,0.009742,0.013207,"399,197","11,542,300",BTCZ,-0.0567102349832155
211710,2018-01-02,0.010462,0.014631,0.010461,0.014049,"369,302","8,549,300",BTCZ,0.34285987382909605
211711,2018-01-01,0.008267,0.01208,0.007320999999999999,0.010584,"395,426","6,694,960",BTCZ,0.280270956816257
211712,2017-12-31,0.004287,0.00905,0.004054,0.008197,"309,629","3,440,850",BTCZ,0.912059715418708
211713,2017-12-30,0.004214,0.005187,0.003643,0.004386999999999999,"94,048","3,352,230",BTCZ,0.0410536307546275
211714,2017-12-29,0.003084,0.005549,0.003026,0.004154,"110,617","2,431,120",BTCZ,0.34695201037613504
211715,2017-12-28,0.003751,0.007076000000000001,0.002745,0.003054,"114,716","2,929,690",BTCZ,-0.18581711543588397
211716,2017-12-27,0.0035189999999999996,0.00424,0.003488,0.0037719999999999997,"38,171","2,723,680",BTCZ,0.0718954248366014
211717,2017-12-26,0.003375,0.0037600000000000003,0.0031100000000000004,0.0034479999999999997,"41,275","2,587,950",BTCZ,0.0216296296296297
211718,2017-12-25,0.004187,0.004187,0.0025210000000000002,0.003378,"106,050","3,180,260",BTCZ,-0.19321710054931898
211719,2017-12-24,0.004220000000000001,0.005182,0.0035909999999999996,0.004144,"52,328","3,175,110",BTCZ,-0.0180094786729857
211720,2017-12-23,0.0039689999999999994,0.004614,0.0036079999999999997,0.004171,"45,046","2,957,820",BTCZ,0.0508944318468128
211721,2017-12-22,0.005004,0.005064,0.003257,0.003729,"38,969","3,693,320",BTCZ,-0.254796163069544
211722,2017-12-21,0.00399,0.00842,0.0037869999999999996,0.004992,"75,975","2,916,180",BTCZ,0.251127819548872
211723,2017-12-20,0.004011,0.004217,0.0035340000000000002,0.00398,"29,732","2,902,640",BTCZ,-0.00772874594864118
211724,2017-12-19,0.004359,0.004372999999999999,0.0037719999999999997,0.00402,"34,265","3,123,090",BTCZ,-0.0777701307639367
211725,2017-12-18,0.003939,0.004351,0.0035299999999999997,0.004164999999999999,"49,663","2,794,940",BTCZ,0.0573749682660575
211726,2017-12-17,0.004461,0.004674,0.003739,0.003807,"28,238","3,133,540",BTCZ,-0.146603900470746
211727,2017-12-16,0.0045049999999999995,0.004809000000000001,0.004168,0.004494,"37,510","3,131,620",BTCZ,-0.00244173140954508
211728,2017-12-15,0.003921,0.0048189999999999995,0.00392,0.0045,"37,996","2,697,960",BTCZ,0.147666411629686
211729,2017-12-14,0.003639,0.004707,0.0036149999999999997,0.003915,"23,575","2,477,530",BTCZ,0.0758450123660347
211730,2017-12-13,0.004376,0.004463,0.0036049999999999997,0.003647,"21,107","2,943,700",BTCZ,-0.166590493601462
211731,2017-12-12,0.004686999999999999,0.005057,0.004351,0.004371,"38,847","3,124,610",BTCZ,-0.0674205248559847
211732,2017-12-11,0.00366,0.005503,0.003363,0.004672,"65,679","2,412,970",BTCZ,0.27650273224043703
211733,2017-12-10,0.002559,0.003959000000000001,0.0023350000000000003,0.0037990000000000003,"30,202","1,668,350",BTCZ,0.484564282923017
211734,2017-12-09,0.003003,0.003046,0.0023899999999999998,0.002549,"8,631","1,936,940",BTCZ,-0.151182151182151
211735,2017-12-08,0.002621,0.002973,0.002068,0.002931,"10,278","1,671,270",BTCZ,0.118275467378863
211736,2017-12-07,0.002523,0.003134,0.002223,0.0026149999999999997,"20,019","1,591,370",BTCZ,0.0364645263575109
211737,2017-12-06,0.002806,0.0029879999999999998,0.002361,0.002527,"21,253","1,749,680",BTCZ,-0.0994297933000712
211738,2017-12-05,0.002916,0.003039,0.002651,0.0028120000000000003,"12,642","1,797,440",BTCZ,-0.0356652949245543
211739,2017-12-04,0.0027429999999999998,0.0029219999999999997,0.002512,0.0028829999999999997,"10,335","1,670,710",BTCZ,0.0510390083849799
211740,2017-12-03,0.002758,0.003198,0.002437,0.002734,"11,227","1,660,860",BTCZ,-0.00870195794053667
211741,2017-12-02,0.0027199999999999998,0.0029579999999999997,0.0026969999999999997,0.002755,"8,021","1,618,070",BTCZ,0.0128676470588235
211742,2017-12-01,0.0023350000000000003,0.00274,0.002234,0.002722,"9,293","1,372,480",BTCZ,0.165738758029979
211743,2017-11-30,0.002621,0.002934,0.0022170000000000002,0.002346,"8,909","1,521,390",BTCZ,-0.104921785578024
211744,2017-11-29,0.003204,0.0032090000000000005,0.002572,0.002582,"11,373","1,837,680",BTCZ,-0.194132334581773
211745,2017-11-28,0.0032310000000000004,0.003452,0.002207,0.003206,"28,026","1,828,980",BTCZ,-0.007737542556484009
211746,2017-11-27,0.002993,0.0032770000000000004,0.0029739999999999996,0.0032229999999999997,"11,286","1,673,400",BTCZ,0.0768459739391915
211747,2017-11-26,0.002999,0.003208,0.002805,0.0029920000000000003,"12,994","1,655,480",BTCZ,-0.00233411137045684
211748,2017-11-25,0.002872,0.0031260000000000003,0.002797,0.0031260000000000003,"11,874","1,564,890",BTCZ,0.0884401114206128
211749,2017-11-24,0.002769,0.002895,0.002715,0.002878,"8,615","1,489,130",BTCZ,0.0393643914770674
211750,2017-11-23,0.002797,0.002911,0.0027649999999999997,0.002774,"9,823","1,484,300",BTCZ,-0.00822309617447266
211751,2017-11-22,0.003118,0.003118,0.0025399999999999997,0.002799,"16,058","1,632,400",BTCZ,-0.10230917254650398
